label,independent_units,qipedc_recordings,qipedc_videos,hcmue_videos,vslgh_signers,vslgh_segments,sources,surface_forms
tình huống,1,1,1,0,0,0,qipedc,tình huống
tình yêu,1,1,1,0,0,0,qipedc,tình yêu
tí hon,1,1,1,0,0,0,qipedc,tí hon
tích (số),1,1,1,0,0,0,qipedc,tích (số)
tích cực,1,1,1,0,0,0,qipedc,tích cực
tím tái,1,1,1,0,0,0,qipedc,tím tái
tính,1,1,1,0,0,0,qipedc,tính
tính chất,1,1,1,0,0,0,qipedc,tính chất
tính chất bằng nhau,1,1,1,0,0,0,qipedc,tính chất bằng nhau
tính chất cơ bản của phân số,1,1,1,0,0,0,qipedc,tính chất cơ bản của phân số
tính chất giao hoán,1,1,1,0,0,0,qipedc,tính chất giao hoán
tính chất kết hợp,1,1,1,0,0,0,qipedc,tính chất kết hợp
tính cách,1,1,1,0,0,0,qipedc,tính cách
tính nhẩm,1,1,1,0,0,0,qipedc,tính nhẩm
tính toán,1,1,1,0,0,0,qipedc,tính toán
tính từ,1,1,1,0,0,0,qipedc,tính từ
tò mò,1,1,2,0,0,0,qipedc,tò mò
tòa soạn,1,1,1,0,0,0,qipedc,tòa soạn
tóc dài,1,1,1,0,0,0,qipedc,tóc dài
tóc dựng đứng,1,1,1,0,0,0,qipedc,tóc dựng đứng
tóc ngắn,2,2,3,0,0,0,qipedc,tóc ngắn
tóc xoăn,1,1,1,0,0,0,qipedc,tóc xoăn
tóm cổ,1,1,1,0,0,0,qipedc,tóm cổ
tóm lược,1,1,1,0,0,0,qipedc,tóm lược
tóm tắt,1,1,1,0,0,0,qipedc,tóm tắt
tô màu,2,2,3,0,0,0,qipedc,tô màu
tôi,6,0,0,0,6,3878,vslgh,TÔI
tôi yêu bạn,2,2,3,0,0,0,qipedc,tôi yêu bạn
tôi yêu bạn ấy,1,1,1,0,0,0,qipedc,tôi yêu bạn ấy
tôm hùm,1,1,1,0,0,0,qipedc,tôm hùm
tôn thờ,1,1,1,0,0,0,qipedc,tôn thờ
tôn trọng,2,2,2,0,0,0,qipedc,tôn trọng
tù giam,1,1,1,0,0,0,qipedc,tù giam
túm tóc,1,1,1,0,0,0,qipedc,túm tóc
tăm,1,1,1,0,0,0,qipedc,tăm
tăng cân,6,0,0,0,6,14,vslgh,TĂNG-CÂN
tĩnh lặng,1,1,1,0,0,0,qipedc,tĩnh lặng
tươi cười,1,1,1,0,0,0,qipedc,tươi cười
tương lai,1,1,1,0,0,0,qipedc,tương lai
tương ớt,2,2,3,0,0,0,qipedc,tương ớt
tương ứng,1,1,1,0,0,0,qipedc,tương ứng
tưới cây,2,2,3,0,0,0,qipedc,tưới cây
tưởng,1,1,1,0,0,0,qipedc,tưởng
tưởng tượng,3,3,4,0,0,0,qipedc,tưởng tượng
tượng,1,1,1,0,0,0,qipedc,tượng
tượng đài,1,1,1,0,0,0,qipedc,tượng đài
tại sao,6,0,0,0,6,14,vslgh,TẠI-SAO
tạm biệt,1,1,1,0,0,0,qipedc,tạm biệt
tạo dáng,1,1,1,0,0,0,qipedc,tạo dáng
tạo thành,1,1,1,0,0,0,qipedc,tạo thành
tải về,1,1,1,0,0,0,qipedc,tải về
tấm lòng,1,1,1,0,0,0,qipedc,tấm lòng
tấm vải,2,2,3,0,0,0,qipedc,tấm vải
tấn,1,0,0,1,0,0,hcmue,tấn
tấn công,1,1,1,0,0,0,qipedc,tấn công
tất cả,6,0,0,0,6,14,vslgh,TẤT-CẢ
tẩy chay,1,1,1,0,0,0,qipedc,tẩy chay
tận số,1,1,1,0,0,0,qipedc,tận số
tập hợp (toán học),1,1,1,0,0,0,qipedc,tập hợp (Toán học)
tập hợp rỗng,1,1,1,0,0,0,qipedc,tập hợp rỗng
tập làm văn,1,1,1,0,0,0,qipedc,tập làm văn
tập thể,1,1,1,0,0,0,qipedc,tập thể
tập thể dục,3,1,2,2,0,0,qipedc+hcmue,tập thể dục
tập trung,1,1,1,0,0,0,qipedc,tập trung
tập viết,1,1,1,0,0,0,qipedc,tập viết
tặc lưỡi,1,1,1,0,0,0,qipedc,tặc lưỡi
tết dương,2,2,2,0,0,0,qipedc,Tết Dương
tết hàn thực,3,3,3,0,0,0,qipedc,Tết hàn thực
tết thiếu nhi,1,1,1,0,0,0,qipedc,Tết Thiếu nhi
tết trung thu,2,2,3,0,0,0,qipedc,Tết Trung thu
tết âm,2,2,2,0,0,0,qipedc,Tết Âm
tệp,1,0,0,1,0,0,hcmue,tệp
tỉ lệ,1,1,1,0,0,0,qipedc,tỉ lệ
tỉ mỉ,1,1,1,0,0,0,qipedc,tỉ mỉ
tỉ số,1,1,1,0,0,0,qipedc,tỉ số
tỉ số phần trăm,1,1,1,0,0,0,qipedc,tỉ số phần trăm
tỉnh,1,1,1,0,0,0,qipedc,tỉnh
tỉnh táo,1,1,1,0,0,0,qipedc,tỉnh táo
tỏa hương,1,1,1,0,0,0,qipedc,tỏa hương
tối,6,0,0,0,6,14,vslgh,TỐI
tống tiền,1,1,1,0,0,0,qipedc,tống tiền
tốt,6,0,0,0,6,14,vslgh,TỐT
tồn tại,1,1,1,0,0,0,qipedc,tồn tại
tổ chim,1,1,1,0,0,0,qipedc,tổ chim
tổ tiên,1,1,1,0,0,0,qipedc,tổ tiên
tổ trưởng,1,1,1,0,0,0,qipedc,tổ trưởng
tổng (số),1,1,1,0,0,0,qipedc,tổng (số)
tổng hợp,1,1,1,0,0,0,qipedc,tổng hợp
tổng kết/bế giảng,2,2,3,0,0,0,qipedc,tổng kết/bế giảng
tổng quát,6,0,0,0,6,15,vslgh,TỔNG-QUÁT
tổng thống,2,2,3,0,0,0,qipedc,tổng thống
tờ báo,2,2,3,0,0,0,qipedc,tờ báo
tờ giấy,2,2,3,0,0,0,qipedc,tờ giấy
tờ tiền,1,1,1,0,0,0,qipedc,tờ tiền
tụ tập,1,1,1,0,0,0,qipedc,tụ tập
tủi thân,1,1,1,0,0,0,qipedc,tủi thân
từ bỏ,1,1,1,0,0,0,qipedc,từ bỏ
từ chối,2,2,3,0,0,0,qipedc,từ chối
từ ngữ,1,1,1,0,0,0,qipedc,từ ngữ
từ phải sang trái,1,1,1,0,0,0,qipedc,từ phải sang trái
từ trái nghĩa,2,2,3,0,0,0,qipedc,từ trái nghĩa
từ trái sang phải,1,1,1,0,0,0,qipedc,từ trái sang phải
từ đồng âm,1,1,1,0,0,0,qipedc,từ đồng âm
từng,6,0,0,0,6,14,vslgh,TỪNG
tự (tự làm),1,1,1,0,0,0,qipedc,tự (tự làm)
tự do,2,2,3,0,0,0,qipedc,tự do
tự giác,1,1,1,0,0,0,qipedc,tự giác
tự hào,1,1,1,0,0,0,qipedc,tự hào
tự lập,3,3,3,0,0,0,qipedc,tự lập
tự tin,2,2,3,0,0,0,qipedc,tự tin
tự trọng,1,1,1,0,0,0,qipedc,tự trọng
tự vệ,3,3,3,0,0,0,qipedc,tự vệ
u,2,1,1,1,0,0,qipedc+hcmue,u
u ám ( trời u ám),1,1,1,0,0,0,qipedc,u ám ( trời u ám)
ung dung,1,1,1,0,0,0,qipedc,ung dung
ung thư,2,2,3,0,0,0,qipedc,ung thư
unicef,1,1,1,0,0,0,qipedc,UNICEF
uốn,1,1,1,0,0,0,qipedc,uốn
uốn cong,1,1,1,0,0,0,qipedc,uốn cong
uốn dẻo,1,1,1,0,0,0,qipedc,uốn dẻo
uốn tóc,1,1,1,0,0,0,qipedc,uốn tóc
uống,6,0,0,0,6,98,vslgh,UỐNG
v,2,1,1,1,0,0,qipedc+hcmue,v
va chạm,1,1,1,0,0,0,qipedc,va chạm
va li,1,1,1,0,0,0,qipedc,va li
vai,1,1,1,0,0,0,qipedc,vai
vai trò,1,1,1,0,0,0,qipedc,vai trò
vi khuẩn,1,1,1,0,0,0,qipedc,vi khuẩn
vi phạm luật,1,0,0,1,0,0,hcmue,vi phạm luật
virus,1,0,0,1,0,0,hcmue,virus
viêm xoang,6,0,0,0,6,14,vslgh,VIÊM-XOANG
viết,6,0,0,0,6,56,vslgh,VIẾT
viết lia lịa,1,1,1,0,0,0,qipedc,viết lia lịa
viền cửa tay,1,0,0,1,0,0,hcmue,viền cửa tay
việc,6,0,0,0,6,14,vslgh,VIỆC
việc làm,1,1,1,0,0,0,qipedc,việc làm
viện bảo tàng,1,1,1,0,0,0,qipedc,viện bảo tàng
viện nghiên cứu,1,1,1,0,0,0,qipedc,viện nghiên cứu
vua hùng,1,1,1,0,0,0,qipedc,vua Hùng
vui chơi,2,2,3,0,0,0,qipedc,vui chơi
vui mừng,2,2,3,0,0,0,qipedc,vui mừng
vui sướng,2,2,3,0,0,0,qipedc,vui sướng
vui tính,1,1,1,0,0,0,qipedc,vui tính
vun đắp,1,1,1,0,0,0,qipedc,vun đắp
vuông góc,1,1,1,0,0,0,qipedc,vuông góc
vuốt tóc,1,1,1,0,0,0,qipedc,vuốt tóc
vàng (kim loại),2,1,1,1,0,0,qipedc+hcmue,vàng (kim loại)
vàng bạc,1,1,1,0,0,0,qipedc,vàng bạc
vào,7,1,1,0,6,27,qipedc+vslgh,VÀO | vào
vào bình,6,0,0,0,6,14,vslgh,VÀO-BÌNH
vào lớp,1,1,1,0,0,0,qipedc,vào lớp
vào mùa,2,2,2,0,0,0,qipedc,vào mùa
